class,descriptor,description,type
Autocorrelation,MATS6e,Moran autocorrelation - lag 6 / weighted by Sanderson electronegativities,2D
Autocorrelation,MATS7e,Moran autocorrelation - lag 7 / weighted by Sanderson electronegativities,2D
Autocorrelation,MATS8e,Moran autocorrelation - lag 8 / weighted by Sanderson electronegativities,2D
Autocorrelation,MATS1p,Moran autocorrelation - lag 1 / weighted by polarizabilities,2D
Autocorrelation,MATS2p,Moran autocorrelation - lag 2 / weighted by polarizabilities,2D
Autocorrelation,MATS3p,Moran autocorrelation - lag 3 / weighted by polarizabilities,2D
Autocorrelation,MATS4p,Moran autocorrelation - lag 4 / weighted by polarizabilities,2D
Autocorrelation,MATS5p,Moran autocorrelation - lag 5 / weighted by polarizabilities,2D
Autocorrelation,MATS6p,Moran autocorrelation - lag 6 / weighted by polarizabilities,2D
Autocorrelation,MATS7p,Moran autocorrelation - lag 7 / weighted by polarizabilities,2D
Autocorrelation,MATS8p,Moran autocorrelation - lag 8 / weighted by polarizabilities,2D
Autocorrelation,MATS1i,Moran autocorrelation - lag 1 / weighted by first ionization potential,2D
Autocorrelation,MATS2i,Moran autocorrelation - lag 2 / weighted by first ionization potential,2D
Autocorrelation,MATS3i,Moran autocorrelation - lag 3 / weighted by first ionization potential,2D
Autocorrelation,MATS4i,Moran autocorrelation - lag 4 / weighted by first ionization potential,2D
Autocorrelation,MATS5i,Moran autocorrelation - lag 5 / weighted by first ionization potential,2D
Autocorrelation,MATS6i,Moran autocorrelation - lag 6 / weighted by first ionization potential,2D
Autocorrelation,MATS7i,Moran autocorrelation - lag 7 / weighted by first ionization potential,2D
Autocorrelation,MATS8i,Moran autocorrelation - lag 8 / weighted by first ionization potential,2D
Autocorrelation,MATS1s,Moran autocorrelation - lag 1 / weighted by I-state,2D
Autocorrelation,MATS2s,Moran autocorrelation - lag 2 / weighted by I-state,2D
Autocorrelation,MATS3s,Moran autocorrelation - lag 3 / weighted by I-state,2D
Autocorrelation,MATS4s,Moran autocorrelation - lag 4 / weighted by I-state,2D
Autocorrelation,MATS5s,Moran autocorrelation - lag 5 / weighted by I-state,2D
Autocorrelation,MATS6s,Moran autocorrelation - lag 6 / weighted by I-state,2D
Autocorrelation,MATS7s,Moran autocorrelation - lag 7 / weighted by I-state,2D
Autocorrelation,MATS8s,Moran autocorrelation - lag 8 / weighted by I-state,2D
Autocorrelation,GATS1c,Geary autocorrelation - lag 1 / weighted by charges,2D
Autocorrelation,GATS2c,Geary autocorrelation - lag 2 / weighted by charges,2D
Autocorrelation,GATS3c,Geary autocorrelation - lag 3 / weighted by charges,2D
Autocorrelation,GATS4c,Geary autocorrelation - lag 4 / weighted by charges,2D
Autocorrelation,GATS5c,Geary autocorrelation - lag 5 / weighted by charges,2D
Autocorrelation,GATS6c,Geary autocorrelation - lag 6 / weighted by charges,2D
Autocorrelation,GATS7c,Geary autocorrelation - lag 7 / weighted by charges,2D
Autocorrelation,GATS8c,Geary autocorrelation - lag 8 / weighted by charges,2D
Autocorrelation,GATS1m,Geary autocorrelation - lag 1 / weighted by mass,2D
Autocorrelation,GATS2m,Geary autocorrelation - lag 2 / weighted by mass,2D
Autocorrelation,GATS3m,Geary autocorrelation - lag 3 / weighted by mass,2D
Autocorrelation,GATS4m,Geary autocorrelation - lag 4 / weighted by mass,2D
Autocorrelation,GATS5m,Geary autocorrelation - lag 5 / weighted by mass,2D
Autocorrelation,GATS6m,Geary autocorrelation - lag 6 / weighted by mass,2D
Autocorrelation,GATS7m,Geary autocorrelation - lag 7 / weighted by mass,2D
Autocorrelation,GATS8m,Geary autocorrelation - lag 8 / weighted by mass,2D
Autocorrelation,GATS1v,Geary autocorrelation - lag 1 / weighted by van der Waals volumes,2D
Autocorrelation,GATS2v,Geary autocorrelation - lag 2 / weighted by van der Waals volumes,2D
Autocorrelation,GATS3v,Geary autocorrelation - lag 3 / weighted by van der Waals volumes,2D
Autocorrelation,GATS4v,Geary autocorrelation - lag 4 / weighted by van der Waals volumes,2D
Autocorrelation,GATS5v,Geary autocorrelation - lag 5 / weighted by van der Waals volumes,2D
Autocorrelation,GATS6v,Geary autocorrelation - lag 6 / weighted by van der Waals volumes,2D
Autocorrelation,GATS7v,Geary autocorrelation - lag 7 / weighted by van der Waals volumes,2D
Autocorrelation,GATS8v,Geary autocorrelation - lag 8 / weighted by van der Waals volumes,2D
Autocorrelation,GATS1e,Geary autocorrelation - lag 1 / weighted by Sanderson electronegativities,2D
Autocorrelation,GATS2e,Geary autocorrelation - lag 2 / weighted by Sanderson electronegativities,2D
Autocorrelation,GATS3e,Geary autocorrelation - lag 3 / weighted by Sanderson electronegativities,2D
Autocorrelation,GATS4e,Geary autocorrelation - lag 4 / weighted by Sanderson electronegativities,2D
Autocorrelation,GATS5e,Geary autocorrelation - lag 5 / weighted by Sanderson electronegativities,2D
Autocorrelation,GATS6e,Geary autocorrelation - lag 6 / weighted by Sanderson electronegativities,2D
Autocorrelation,GATS7e,Geary autocorrelation - lag 7 / weighted by Sanderson electronegativities,2D
Autocorrelation,GATS8e,Geary autocorrelation - lag 8 / weighted by Sanderson electronegativities,2D
Autocorrelation,GATS1p,Geary autocorrelation - lag 1 / weighted by polarizabilities,2D
Autocorrelation,GATS2p,Geary autocorrelation - lag 2 / weighted by polarizabilities,2D
Autocorrelation,GATS3p,Geary autocorrelation - lag 3 / weighted by polarizabilities,2D
Autocorrelation,GATS4p,Geary autocorrelation - lag 4 / weighted by polarizabilities,2D
Autocorrelation,GATS5p,Geary autocorrelation - lag 5 / weighted by polarizabilities,2D
Autocorrelation,GATS6p,Geary autocorrelation - lag 6 / weighted by polarizabilities,2D
Autocorrelation,GATS7p,Geary autocorrelation - lag 7 / weighted by polarizabilities,2D
Autocorrelation,GATS8p,Geary autocorrelation - lag 8 / weighted by polarizabilities,2D
Autocorrelation,GATS1i,Geary autocorrelation - lag 1 / weighted by first ionization potential,2D
Autocorrelation,GATS2i,Geary autocorrelation - lag 2 / weighted by first ionization potential,2D
Autocorrelation,GATS3i,Geary autocorrelation - lag 3 / weighted by first ionization potential,2D
Autocorrelation,GATS4i,Geary autocorrelation - lag 4 / weighted by first ionization potential,2D
Autocorrelation,GATS5i,Geary autocorrelation - lag 5 / weighted by first ionization potential,2D
Autocorrelation,GATS6i,Geary autocorrelation - lag 6 / weighted by first ionization potential,2D
Autocorrelation,GATS7i,Geary autocorrelation - lag 7 / weighted by first ionization potential,2D
Autocorrelation,GATS8i,Geary autocorrelation - lag 8 / weighted by first ionization potential,2D
Autocorrelation,GATS1s,Geary autocorrelation - lag 1 / weighted by I-state,2D
Autocorrelation,GATS2s,Geary autocorrelation - lag 2 / weighted by I-state,2D
Autocorrelation,GATS3s,Geary autocorrelation - lag 3 / weighted by I-state,2D
Autocorrelation,GATS4s,Geary autocorrelation - lag 4 / weighted by I-state,2D
Autocorrelation,GATS5s,Geary autocorrelation - lag 5 / weighted by I-state,2D
Autocorrelation,GATS6s,Geary autocorrelation - lag 6 / weighted by I-state,2D
Autocorrelation,GATS7s,Geary autocorrelation - lag 7 / weighted by I-state,2D
Autocorrelation,GATS8s,Geary autocorrelation - lag 8 / weighted by I-state,2D
BaryszMatrix,SpAbs_DzZ,Graph energy from Barysz matrix / weighted by atomic number,2D
BaryszMatrix,SpMax_DzZ,Leading eigenvalue from Barysz matrix / weighted by atomic number,2D
BaryszMatrix,SpDiam_DzZ,Spectral diameter from Barysz matrix / weighted by atomic number,2D
BaryszMatrix,SpAD_DzZ,Spectral absolute deviation from Barysz matrix / weighted by atomic number,2D
BaryszMatrix,SpMAD_DzZ,Spectral mean absolute deviation from Barysz matrix / weighted by atomic number,2D
BaryszMatrix,EE_DzZ,Estrada-like index from Barysz matrix / weighted by atomic number (ln(1+x)),2D
BaryszMatrix,SM1_DzZ,Spectral moment of order 1 from Barysz matrix / weighted by atomic number,2D
BaryszMatrix,VE1_DzZ,Coefficient sum of the last eigenvector from Barysz matrix / weighted by atomic number,2D
BaryszMatrix,VE2_DzZ,Average coefficient sum of the last eigenvector from Barysz matrix / weighted by atomic number,2D
BaryszMatrix,VE3_DzZ,Logarithmic coefficient sum of the last eigenvector from Barysz matrix / weighted by atomic number,2D
BaryszMatrix,VR1_DzZ,Randic-like eigenvector-based index from Barysz matrix / weighted by atomic number,2D
BaryszMatrix,VR2_DzZ,Normalized Randic-like eigenvector-based index from Barysz matrix / weighted by atomic number,2D
BaryszMatrix,VR3_DzZ,Logarithmic Randic-like eigenvector-based index from Barysz matrix / weighted by atomic number,2D
BaryszMatrix,SpAbs_Dzm,Graph energy from Barysz matrix / weighted by mass,2D
BaryszMatrix,SpMax_Dzm,Leading eigenvalue from Barysz matrix / weighted by mass,2D
BaryszMatrix,SpDiam_Dzm,Spectral diameter from Barysz matrix / weighted by mass,2D
BaryszMatrix,SpAD_Dzm,Spectral absolute deviation from Barysz matrix / weighted by mass,2D
BaryszMatrix,SpMAD_Dzm,Spectral mean absolute deviation from Barysz matrix / weighted by mass,2D
BaryszMatrix,EE_Dzm,Estrada-like index from Barysz matrix / weighted by mass (ln(1+x)),2D
BaryszMatrix,SM1_Dzm,Spectral moment of order 1 from Barysz matrix / weighted by mass,2D
BaryszMatrix,VE1_Dzm,Coefficient sum of the last eigenvector from Barysz matrix / weighted by mass,2D
BaryszMatrix,VE2_Dzm,Average coefficient sum of the last eigenvector from Barysz matrix / weighted by mass,2D
BaryszMatrix,VE3_Dzm,Logarithmic coefficient sum of the last eigenvector from Barysz matrix / weighted by mass,2D
BaryszMatrix,VR1_Dzm,Randic-like eigenvector-based index from Barysz matrix / weighted by mass,2D
BaryszMatrix,VR2_Dzm,Normalized Randic-like eigenvector-based index from Barysz matrix / weighted by mass,2D
BaryszMatrix,VR3_Dzm,Logarithmic Randic-like eigenvector-based index from Barysz matrix / weighted by mass,2D
BaryszMatrix,SpAbs_Dzv,Graph energy from Barysz matrix / weighted by van der Waals volumes,2D
BaryszMatrix,SpMax_Dzv,Leading eigenvalue from Barysz matrix / weighted by van der Waals volumes,2D
BaryszMatrix,SpDiam_Dzv,Spectral diameter from Barysz matrix / weighted by van der Waals volumes,2D
BaryszMatrix,SpAD_Dzv,Spectral absolute deviation from Barysz matrix / weighted by van der Waals volumes,2D
BaryszMatrix,SpMAD_Dzv,Spectral mean absolute deviation from Barysz matrix / weighted by van der Waals volumes,2D
BaryszMatrix,EE_Dzv,Estrada-like index from Barysz matrix / weighted by van der Waals volumes (ln(1+x)),2D
BaryszMatrix,SM1_Dzv,Spectral moment of order 1 from Barysz matrix / weighted by van der Waals volumes,2D
BaryszMatrix,VE1_Dzv,Coefficient sum of the last eigenvector from Barysz matrix / weighted by van der Waals volumes,2D
BaryszMatrix,VE2_Dzv,Average coefficient sum of the last eigenvector from Barysz matrix / weighted by van der Waals volumes,2D
BaryszMatrix,VE3_Dzv,Logarithmic coefficient sum of the last eigenvector from Barysz matrix / weighted by van der Waals volumes,2D
BaryszMatrix,VR1_Dzv,Randic-like eigenvector-based index from Barysz matrix / weighted by van der Waals volumes,2D
BaryszMatrix,VR2_Dzv,Normalized Randic-like eigenvector-based index from Barysz matrix / weighted by van der Waals volumes,2D
BaryszMatrix,VR3_Dzv,Logarithmic Randic-like eigenvector-based index from Barysz matrix / weighted by van der Waals volumes,2D
BaryszMatrix,SpAbs_Dze,Graph energy from Barysz matrix / weighted by Sanderson electronegativities,2D
BaryszMatrix,SpMax_Dze,Leading eigenvalue from Barysz matrix / weighted by Sanderson electronegativities,2D
BaryszMatrix,SpDiam_Dze,Spectral diameter from Barysz matrix / weighted by Sanderson electronegativities,2D
BaryszMatrix,SpAD_Dze,Spectral absolute deviation from Barysz matrix / weighted by Sanderson electronegativities,2D
BaryszMatrix,SpMAD_Dze,Spectral mean absolute deviation from Barysz matrix / weighted by Sanderson electronegativities,2D
BaryszMatrix,EE_Dze,Estrada-like index from Barysz matrix / weighted by Sanderson electronegativities (ln(1+x)),2D
BaryszMatrix,SM1_Dze,Spectral moment of order 1 from Barysz matrix / weighted by Sanderson electronegativities,2D
BaryszMatrix,VE1_Dze,Coefficient sum of the last eigenvector from Barysz matrix / weighted by Sanderson electronegativities,2D
BaryszMatrix,VE2_Dze,Average coefficient sum of the last eigenvector from Barysz matrix / weighted by Sanderson electronegativities,2D
BaryszMatrix,VE3_Dze,Logarithmic coefficient sum of the last eigenvector from Barysz matrix / weighted by Sanderson electronegativities,2D
BaryszMatrix,VR1_Dze,Randic-like eigenvector-based index from Barysz matrix / weighted by Sanderson electronegativities,2D
BaryszMatrix,VR2_Dze,Normalized Randic-like eigenvector-based index from Barysz matrix / weighted by Sanderson electronegativities,2D
BaryszMatrix,VR3_Dze,Logarithmic Randic-like eigenvector-based index from Barysz matrix / weighted by Sanderson electronegativities,2D
BaryszMatrix,SpAbs_Dzp,Graph energy from Barysz matrix / weighted by polarizabilities,2D
BaryszMatrix,SpMax_Dzp,Leading eigenvalue from Barysz matrix / weighted by polarizabilities,2D
BaryszMatrix,SpDiam_Dzp,Spectral diameter from Barysz matrix / weighted by polarizabilities,2D
BaryszMatrix,SpAD_Dzp,Spectral absolute deviation from Barysz matrix / weighted by polarizabilities,2D
BaryszMatrix,SpMAD_Dzp,Spectral mean absolute deviation from Barysz matrix / weighted by polarizabilities,2D
BaryszMatrix,EE_Dzp,Estrada-like index from Barysz matrix / weighted by polarizabilities (ln(1+x)),2D
BaryszMatrix,SM1_Dzp,Spectral moment of order 1 from Barysz matrix / weighted by polarizabilities,2D
BaryszMatrix,VE1_Dzp,Coefficient sum of the last eigenvector from Barysz matrix / weighted by polarizabilities,2D
BaryszMatrix,VE2_Dzp,Average coefficient sum of the last eigenvector from Barysz matrix / weighted by polarizabilities,2D
BaryszMatrix,VE3_Dzp,Logarithmic coefficient sum of the last eigenvector from Barysz matrix / weighted by polarizabilities,2D
BaryszMatrix,VR1_Dzp,Randic-like eigenvector-based index from Barysz matrix / weighted by polarizabilities,2D
BaryszMatrix,VR2_Dzp,Normalized Randic-like eigenvector-based index from Barysz matrix / weighted by polarizabilities,2D
BaryszMatrix,VR3_Dzp,Logarithmic Randic-like eigenvector-based index from Barysz matrix / weighted by polarizabilities,2D
BaryszMatrix,SpAbs_Dzi,Graph energy from Barysz matrix / weighted by first ionization potential,2D
BaryszMatrix,SpMax_Dzi,Leading eigenvalue from Barysz matrix / weighted by first ionization potential,2D
BaryszMatrix,SpDiam_Dzi,Spectral diameter from Barysz matrix / weighted by first ionization potential,2D
BaryszMatrix,SpAD_Dzi,Spectral absolute deviation from Barysz matrix / weighted by first ionization potential,2D
BaryszMatrix,SpMAD_Dzi,Spectral mean absolute deviation from Barysz matrix / weighted by first ionization potential,2D
BaryszMatrix,EE_Dzi,Estrada-like index from Barysz matrix / weighted by first ionization potential (ln(1+x)),2D
BaryszMatrix,SM1_Dzi,Spectral moment of order 1 from Barysz matrix / weighted by first ionization potential,2D
BaryszMatrix,VE1_Dzi,Coefficient sum of the last eigenvector from Barysz matrix / weighted by first ionization potential,2D
BaryszMatrix,VE2_Dzi,Average coefficient sum of the last eigenvector from Barysz matrix / weighted by first ionization potential,2D
BaryszMatrix,VE3_Dzi,Logarithmic coefficient sum of the last eigenvector from Barysz matrix / weighted by first ionization potential,2D
BaryszMatrix,VR1_Dzi,Randic-like eigenvector-based index from Barysz matrix / weighted by first ionization potential,2D
BaryszMatrix,VR2_Dzi,Normalized Randic-like eigenvector-based index from Barysz matrix / weighted by first ionization potential,2D
BaryszMatrix,VR3_Dzi,Logarithmic Randic-like eigenvector-based index from Barysz matrix / weighted by first ionization potential,2D
BaryszMatrix,SpAbs_Dzs,Graph energy from Barysz matrix / weighted by I-state,2D
BaryszMatrix,SpMax_Dzs,Leading eigenvalue from Barysz matrix / weighted by I-state,2D
BaryszMatrix,SpDiam_Dzs,Spectral diameter from Barysz matrix / weighted by I-state,2D
BaryszMatrix,SpAD_Dzs,Spectral absolute deviation from Barysz matrix / weighted by I-state,2D
BaryszMatrix,SpMAD_Dzs,Spectral mean absolute deviation from Barysz matrix / weighted by I-state,2D
BaryszMatrix,EE_Dzs,Estrada-like index from Barysz matrix / weighted by I-state (ln(1+x)),2D
BaryszMatrix,SM1_Dzs,Spectral moment of order 1 from Barysz matrix / weighted by I-state,2D
BaryszMatrix,VE1_Dzs,Coefficient sum of the last eigenvector from Barysz matrix / weighted by I-state,2D
BaryszMatrix,VE2_Dzs,Average coefficient sum of the last eigenvector from Barysz matrix / weighted by I-state,2D
BaryszMatrix,VE3_Dzs,Logarithmic coefficient sum of the last eigenvector from Barysz matrix / weighted by I-state,2D
BaryszMatrix,VR1_Dzs,Randic-like eigenvector-based index from Barysz matrix / weighted by I-state,2D
BaryszMatrix,VR2_Dzs,Normalized Randic-like eigenvector-based index from Barysz matrix / weighted by I-state,2D
BaryszMatrix,VR3_Dzs,Logarithmic Randic-like eigenvector-based index from Barysz matrix / weighted by I-state,2D
BasicGroupCount,nBase,"Number of basic groups. The list of basic groups is defined by this SMARTS '[$([NH2]-[CX4])]', '[$([NH](-[CX4])-[CX4])]', '[$(N(-[CX4])(-[CX4])-[CX4])]', '[$([*;+;!$(*~[*;-])])]', '[$(N=C-N)]', and '[$(N-C=N)]' originally presented in JOELib",2D
BCUT,BCUTw-1l,nhigh lowest atom weighted BCUTS ,2D
BCUT,BCUTw-1h,nlow highest atom weighted BCUTS ,2D
BCUT,BCUTc-1l,nhigh lowest partial charge weighted BCUTS ,2D
BCUT,BCUTc-1h,nlow highest partial charge weighted BCUTS ,2D
BCUT,BCUTp-1l,nhigh lowest polarizability weighted BCUTS ,2D
BCUT,BCUTp-1h,nlow highest polarizability weighted BCUTS ,2D
BondCount,nBonds,Number of bonds (excluding bonds with hydrogen),2D
BondCount,nBonds2,Total number of bonds (including bonds to hydrogens),2D
BondCount,nBondsS,Number of single bonds (including bonds with hydrogen),2D
BondCount,nBondsS2,Total number of single bonds (including bonds to hydrogens, excluding aromatic bonds),2D
BondCount,nBondsS3,Total number of single bonds (excluding bonds to hydrogens and aromatic bonds),2D
BondCount,nBondsD,Number of double bonds,2D
BondCount,nBondsD2,Total number of double bonds (excluding bonds to aromatic bonds),2D
BondCount,nBondsT,Number of triple bonds,2D
BondCount,nBondsQ,Number of quadruple bonds,2D
BondCount,nBondsM,Total number of bonds that have bond order greater than one (aromatic bonds have bond order 1.5).,2D
BPol,bpol,Sum of the absolute value of the difference between atomic polarizabilities of all bonded atoms in the molecule (including implicit hydrogens),2D
BurdenModifiedEigenvalues,SpMax1_Bhm,Largest absolute eigenvalue of Burden modified matrix - n 1 / weighted by relative mass,2D
BurdenModifiedEigenvalues,SpMax2_Bhm,Largest absolute eigenvalue of Burden modified matrix - n 2 / weighted by relative mass,2D
BurdenModifiedEigenvalues,SpMax3_Bhm,Largest absolute eigenvalue of Burden modified matrix - n 3 / weighted by relative mass,2D
BurdenModifiedEigenvalues,SpMax4_Bhm,Largest absolute eigenvalue of Burden modified matrix - n 4 / weighted by relative mass,2D
BurdenModifiedEigenvalues,SpMax5_Bhm,Largest absolute eigenvalue of Burden modified matrix - n 5 / weighted by relative mass,2D
BurdenModifiedEigenvalues,SpMax6_Bhm,Largest absolute eigenvalue of Burden modified matrix - n 6 / weighted by relative mass,2D
BurdenModifiedEigenvalues,SpMax7_Bhm,Largest absolute eigenvalue of Burden modified matrix - n 7 / weighted by relative mass,2D
BurdenModifiedEigenvalues,SpMax8_Bhm,Largest absolute eigenvalue of Burden modified matrix - n 8 / weighted by relative mass,2D
BurdenModifiedEigenvalues,SpMin1_Bhm,Smallest absolute eigenvalue of Burden modified matrix - n 1 / weighted by relative mass,2D
BurdenModifiedEigenvalues,SpMin2_Bhm,Smallest absolute eigenvalue of Burden modified matrix - n 2 / weighted by relative mass,2D
BurdenModifiedEigenvalues,SpMin3_Bhm,Smallest absolute eigenvalue of Burden modified matrix - n 3 / weighted by relative mass,2D
BurdenModifiedEigenvalues,SpMin4_Bhm,Smallest absolute eigenvalue of Burden modified matrix - n 4 / weighted by relative mass,2D
BurdenModifiedEigenvalues,SpMin5_Bhm,Smallest absolute eigenvalue of Burden modified matrix - n 5 / weighted by relative mass,2D
BurdenModifiedEigenvalues,SpMin6_Bhm,Smallest absolute eigenvalue of Burden modified matrix - n 6 / weighted by relative mass,2D
BurdenModifiedEigenvalues,SpMin7_Bhm,Smallest absolute eigenvalue of Burden modified matrix - n 7 / weighted by relative mass,2D
BurdenModifiedEigenvalues,SpMin8_Bhm,Smallest absolute eigenvalue of Burden modified matrix - n 8 / weighted by relative mass,2D
BurdenModifiedEigenvalues,SpMax1_Bhv,Largest absolute eigenvalue of Burden modified matrix - n 1 / weighted by relative van der Waals volumes,2D
BurdenModifiedEigenvalues,SpMax2_Bhv,Largest absolute eigenvalue of Burden modified matrix - n 2 / weighted by relative van der Waals volumes,2D
BurdenModifiedEigenvalues,SpMax3_Bhv,Largest absolute eigenvalue of Burden modified matrix - n 3 / weighted by relative van der Waals volumes,2D
BurdenModifiedEigenvalues,SpMax4_Bhv,Largest absolute eigenvalue of Burden modified matrix - n 4 / weighted by relative van der Waals volumes,2D
BurdenModifiedEigenvalues,SpMax5_Bhv,Largest absolute eigenvalue of Burden modified matrix - n 5 / weighted by relative van der Waals volumes,2D
BurdenModifiedEigenvalues,SpMax6_Bhv,Largest absolute eigenvalue of Burden modified matrix - n 6 / weighted by relative van der Waals volumes,2D
BurdenModifiedEigenvalues,SpMax7_Bhv,Largest absolute eigenvalue of Burden modified matrix - n 7 / weighted by relative van der Waals volumes,2D
BurdenModifiedEigenvalues,SpMax8_Bhv,Largest absolute eigenvalue of Burden modified matrix - n 8 / weighted by relative van der Waals volumes,2D
BurdenModifiedEigenvalues,SpMin1_Bhv,Smallest absolute eigenvalue of Burden modified matrix - n 1 / weighted by relative van der Waals volumes,2D
BurdenModifiedEigenvalues,SpMin2_Bhv,Smallest absolute eigenvalue of Burden modified matrix - n 2 / weighted by relative van der Waals volumes,2D
BurdenModifiedEigenvalues,SpMin3_Bhv,Smallest absolute eigenvalue of Burden modified matrix - n 3 / weighted by relative van der Waals volumes,2D
BurdenModifiedEigenvalues,SpMin4_Bhv,Smallest absolute eigenvalue of Burden modified matrix - n 4 / weighted by relative van der Waals volumes,2D
BurdenModifiedEigenvalues,SpMin5_Bhv,Smallest absolute eigenvalue of Burden modified matrix - n 5 / weighted by relative van der Waals volumes,2D
BurdenModifiedEigenvalues,SpMin6_Bhv,Smallest absolute eigenvalue of Burden modified matrix - n 6 / weighted by relative van der Waals volumes,2D
BurdenModifiedEigenvalues,SpMin7_Bhv,Smallest absolute eigenvalue of Burden modified matrix - n 7 / weighted by relative van der Waals volumes,2D
BurdenModifiedEigenvalues,SpMin8_Bhv,Smallest absolute eigenvalue of Burden modified matrix - n 8 / weighted by relative van der Waals volumes,2D
BurdenModifiedEigenvalues,SpMax1_Bhe,Largest absolute eigenvalue of Burden modified matrix - n 1 / weighted by relative Sanderson electronegativities,2D
BurdenModifiedEigenvalues,SpMax2_Bhe,Largest absolute eigenvalue of Burden modified matrix - n 2 / weighted by relative Sanderson electronegativities,2D
BurdenModifiedEigenvalues,SpMax3_Bhe,Largest absolute eigenvalue of Burden modified matrix - n 3 / weighted by relative Sanderson electronegativities,2D
BurdenModifiedEigenvalues,SpMax4_Bhe,Largest absolute eigenvalue of Burden modified matrix - n 4 / weighted by relative Sanderson electronegativities,2D
BurdenModifiedEigenvalues,SpMax5_Bhe,Largest absolute eigenvalue of Burden modified matrix - n 5 / weighted by relative Sanderson electronegativities,2D
BurdenModifiedEigenvalues,SpMax6_Bhe,Largest absolute eigenvalue of Burden modified matrix - n 6 / weighted by relative Sanderson electronegativities,2D
BurdenModifiedEigenvalues,SpMax7_Bhe,Largest absolute eigenvalue of Burden modified matrix - n 7 / weighted by relative Sanderson electronegativities,2D
BurdenModifiedEigenvalues,SpMax8_Bhe,Largest absolute eigenvalue of Burden modified matrix - n 8 / weighted by relative Sanderson electronegativities,2D
BurdenModifiedEigenvalues,SpMin1_Bhe,Smallest absolute eigenvalue of Burden modified matrix - n 1 / weighted by relative Sanderson electronegativities,2D
BurdenModifiedEigenvalues,SpMin2_Bhe,Smallest absolute eigenvalue of Burden modified matrix - n 2 / weighted by relative Sanderson electronegativities,2D
BurdenModifiedEigenvalues,SpMin3_Bhe,Smallest absolute eigenvalue of Burden modified matrix - n 3 / weighted by relative Sanderson electronegativities,2D
BurdenModifiedEigenvalues,SpMin4_Bhe,Smallest absolute eigenvalue of Burden modified matrix - n 4 / weighted by relative Sanderson electronegativities,2D
BurdenModifiedEigenvalues,SpMin5_Bhe,Smallest absolute eigenvalue of Burden modified matrix - n 5 / weighted by relative Sanderson electronegativities,2D
BurdenModifiedEigenvalues,SpMin6_Bhe,Smallest absolute eigenvalue of Burden modified matrix - n 6 / weighted by relative Sanderson electronegativities,2D
BurdenModifiedEigenvalues,SpMin7_Bhe,Smallest absolute eigenvalue of Burden modified matrix - n 7 / weighted by relative Sanderson electronegativities,2D
BurdenModifiedEigenvalues,SpMin8_Bhe,Smallest absolute eigenvalue of Burden modified matrix - n 8 / weighted by relative Sanderson electronegativities,2D
BurdenModifiedEigenvalues,SpMax1_Bhp,Largest absolute eigenvalue of Burden modified matrix - n 1 / weighted by relative polarizabilities,2D
BurdenModifiedEigenvalues,SpMax2_Bhp,Largest absolute eigenvalue of Burden modified matrix - n 2 / weighted by relative polarizabilities,2D
BurdenModifiedEigenvalues,SpMax3_Bhp,Largest absolute eigenvalue of Burden modified matrix - n 3 / weighted by relative polarizabilities,2D
BurdenModifiedEigenvalues,SpMax4_Bhp,Largest absolute eigenvalue of Burden modified matrix - n 4 / weighted by relative polarizabilities,2D
BurdenModifiedEigenvalues,SpMax5_Bhp,Largest absolute eigenvalue of Burden modified matrix - n 5 / weighted by relative polarizabilities,2D
BurdenModifiedEigenvalues,SpMax6_Bhp,Largest absolute eigenvalue of Burden modified matrix - n 6 / weighted by relative polarizabilities,2D
BurdenModifiedEigenvalues,SpMax7_Bhp,Largest absolute eigenvalue of Burden modified matrix - n 7 / weighted by relative polarizabilities,2D
BurdenModifiedEigenvalues,SpMax8_Bhp,Largest absolute eigenvalue of Burden modified matrix - n 8 / weighted by relative polarizabilities,2D
BurdenModifiedEigenvalues,SpMin1_Bhp,Smallest absolute eigenvalue of Burden modified matrix - n 1 / weighted by relative polarizabilities,2D
BurdenModifiedEigenvalues,SpMin2_Bhp,Smallest absolute eigenvalue of Burden modified matrix - n 2 / weighted by relative polarizabilities,2D
BurdenModifiedEigenvalues,SpMin3_Bhp,Smallest absolute eigenvalue of Burden modified matrix - n 3 / weighted by relative polarizabilities,2D
BurdenModifiedEigenvalues,SpMin4_Bhp,Smallest absolute eigenvalue of Burden modified matrix - n 4 / weighted by relative polarizabilities,2D
BurdenModifiedEigenvalues,SpMin5_Bhp,Smallest absolute eigenvalue of Burden modified matrix - n 5 / weighted by relative polarizabilities,2D
BurdenModifiedEigenvalues,SpMin6_Bhp,Smallest absolute eigenvalue of Burden modified matrix - n 6 / weighted by relative polarizabilities,2D
BurdenModifiedEigenvalues,SpMin7_Bhp,Smallest absolute eigenvalue of Burden modified matrix - n 7 / weighted by relative polarizabilities,2D
BurdenModifiedEigenvalues,SpMin8_Bhp,Smallest absolute eigenvalue of Burden modified matrix - n 8 / weighted by relative polarizabilities,2D
BurdenModifiedEigenvalues,SpMax1_Bhi,Largest absolute eigenvalue of Burden modified matrix - n 1 / weighted by relative first ionization potential,2D
BurdenModifiedEigenvalues,SpMax2_Bhi,Largest absolute eigenvalue of Burden modified matrix - n 2 / weighted by relative first ionization potential,2D
BurdenModifiedEigenvalues,SpMax3_Bhi,Largest absolute eigenvalue of Burden modified matrix - n 3 / weighted by relative first ionization potential,2D
